Peak from 587 to 589, duration: 2, core average: 52528
Peak from 503 to 505, duration: 2, core average: 48816
Peak from 469 to 471, duration: 2, core average: 48516
Peak from 502 to 505, duration: 3, core average: 48324
Peak from 559 to 562, duration: 3, core average: 46806
Peak from 558 to 562, duration: 4, core average: 37103
Peak from 468 to 471, duration: 3, core average: 36317
Peak from 3942 to 3945, duration: 3, core average: 19966
Peak from 3943 to 3945, duration: 2, core average: 16369
Peak from 393 to 396, duration: 3, core average: 11104
Peak from 394 to 396, duration: 2, core average: 10516
Peak from 311 to 313, duration: 2, core average: 5929
Peak from 301 to 303, duration: 2, core average: 4982
Peak from 542 to 544, duration: 2, core average: 2386
