Peak from 112953 to 112957, duration: 4, core average: 5432607
Peak from 120665 to 120672, duration: 7, core average: 5431538
Peak from 113062 to 113066, duration: 4, core average: 5429634
Peak from 115090 to 115095, duration: 5, core average: 5427562
Peak from 112979 to 112983, duration: 4, core average: 5427281
Peak from 116442 to 116447, duration: 5, core average: 5426987
Peak from 116453 to 116458, duration: 5, core average: 5424007
Peak from 113028 to 113032, duration: 4, core average: 5424003
Peak from 122529 to 122535, duration: 6, core average: 5423795
Peak from 119239 to 119245, duration: 6, core average: 5422963
Peak from 117540 to 117545, duration: 5, core average: 5419743
Peak from 118034 to 118040, duration: 6, core average: 5416241
Peak from 117890 to 117897, duration: 7, core average: 5406671
Peak from 115652 to 115655, duration: 3, core average: 5405645
Peak from 117185 to 117189, duration: 4, core average: 5399523
Peak from 116524 to 116527, duration: 3, core average: 5391857
Peak from 115425 to 115427, duration: 2, core average: 5389909
Peak from 115883 to 115887, duration: 4, core average: 5387799
Peak from 119642 to 119646, duration: 4, core average: 5387339
Peak from 117073 to 117077, duration: 4, core average: 5385683
Peak from 112856 to 112861, duration: 5, core average: 5380122
Peak from 117065 to 117071, duration: 6, core average: 5380066
Peak from 116913 to 116917, duration: 4, core average: 5379304
Peak from 120716 to 120722, duration: 6, core average: 5374107
Peak from 116345 to 116349, duration: 4, core average: 5374058
Peak from 118224 to 118232, duration: 8, core average: 5351567
Peak from 120583 to 120590, duration: 7, core average: 5350159
Peak from 116006 to 116009, duration: 3, core average: 5345728
Peak from 117001 to 117005, duration: 4, core average: 5345369
Peak from 117386 to 117389, duration: 3, core average: 5345139
Peak from 120535 to 120541, duration: 6, core average: 5342367
Peak from 116513 to 116517, duration: 4, core average: 5338109
Peak from 120666 to 120672, duration: 6, core average: 5330807
Peak from 120369 to 120374, duration: 5, core average: 5330283
Peak from 122103 to 122107, duration: 4, core average: 5329626
Peak from 114667 to 114676, duration: 9, core average: 5327585
Peak from 117203 to 117208, duration: 5, core average: 5315309
Peak from 116246 to 116249, duration: 3, core average: 5314368
Peak from 117891 to 117897, duration: 6, core average: 5312931
Peak from 114666 to 114676, duration: 10, core average: 5311011
Peak from 116340 to 116344, duration: 4, core average: 5308625
Peak from 116767 to 116770, duration: 3, core average: 5303381
Peak from 114668 to 114676, duration: 8, core average: 5300231
Peak from 119240 to 119245, duration: 5, core average: 5298671
Peak from 116986 to 116990, duration: 4, core average: 5296770
Peak from 115297 to 115299, duration: 2, core average: 5292313
Peak from 115285 to 115287, duration: 2, core average: 5290810
Peak from 116636 to 116639, duration: 3, core average: 5290484
Peak from 115737 to 115740, duration: 3, core average: 5286169
Peak from 118225 to 118232, duration: 7, core average: 5285925
Peak from 120312 to 120318, duration: 6, core average: 5281676
Peak from 122713 to 122717, duration: 4, core average: 5280604
Peak from 117407 to 117410, duration: 3, core average: 5277643
Peak from 116584 to 116587, duration: 3, core average: 5275726
Peak from 116810 to 116814, duration: 4, core average: 5273296
Peak from 116192 to 116195, duration: 3, core average: 5272869
Peak from 116176 to 116180, duration: 4, core average: 5272403
Peak from 117634 to 117638, duration: 4, core average: 5259463
Peak from 122530 to 122535, duration: 5, core average: 5257502
Peak from 119129 to 119136, duration: 7, core average: 5254769
