J1_4_9,1918,137,0
J1_6_19,398883,36963,8261
J1_7_16,552,6,0
J20_10_11_12_18_19,1344,64,7
J20_10_12_14,1319,45,5
J20_15_19,5837,967,100
J20_18_19,8835,134,26
J20_19_22,1000,100,25
J20_1_19,132546,575,286
J20_1_2_3_4_19,7864,159,11
J20_1_2_3_4_5_19,751,3,0
J20_1_4_5_6_7_9_12_13_14_15_18_19_28,14847,390,10
J20_21_27,53990,1062,177
J20_2_19,1965,1118,7
J20_3_19,550,7,0
J20_5_19,462253,3719,1492
J20_6_10_11_12_13_14_15_16_19,1005,31,0
J20_6_19,361433,36963,7642
J20_9_12_19,9379371,44427,25893
J21_11_13_15,1414,45,6
J21_11_13_18_19_20,188056,4444,592
J21_12_13_14_20,996,449,106
J21_13_14_15_16_17_18_19_20,223552,2133,287
J21_14_20,9452,215,7
J21_17_20_23,4184,67,1
J21_1_12_15_18_20,939,39,3
J21_1_20,98288,4444,712
J21_1_2_20,1295,35,0
J21_1_2_3_4_5_6_20,19487,707,50
J21_25_28,6563,247,11
J21_3_13_18_19_20,3580,24,7
J21_6_20,6135086,32672,14149
J21_8_10_14_20,5004,1219,373
J22_11_21,2890,295,9
J22_18_20_21,6906,390,15
J22_18_21,7010,155,4
J22_1_2_3_4_5_8_9_12_15_17_19_21,1582,133,2
J22_1_3_4_6_8_11_12_21,267478,2489,476
J22_1_4_5_6_7_8_9_11_14_16_17_20_21_31,2927,217,15
J22_20_21,23490,314,0
J22_21_24,1250,52,25
J22_2_5_6_7_16_21_27_28_29_33_34_36_39_44_45_48,3020,1111,75
J22_3_5_11_18_20_21,21128,2064,345
J22_4_5_21,8543919,30012,10014
J22_4_7_10_11_12_14_16_18_21,940,15,0
J22_6_10_15_16_17_18_19_20_21,6115,305,17
J22_6_7_8_9_21,5960,123,17
J22_8_9_10_13_14_17_18_19_20_21,11516,1111,128
J23_11_17_20_21_22,1998,25,0
J23_13_14_15_21_22,944,48,4
J23_17_18_20_22,1190,195,65
J23_17_18_22,7808,90,0
J23_17_22,1740,53,4
J23_18_20_21_22,4305,783,83
J23_1_22,20094,274,34
J23_1_2_4_22,1662,63,2
J23_20_21_22,7960,103,0
J23_21_22,13564,447,109
J23_2_22,1347,112,1
J23_2_4_6_8_9_10_11_12_13_18_20_22,20832,786,88
J23_3_4_22,510,51,0
J23_3_6_9_10_11_14_21_22,12179,4110,1858
J23_7_22,2440,17,4
J23_9_22,4742,526,0
J24_10_11_15_16_17_18_19_23,4423,49,0
J24_13_22_23,517,44,11
J24_14_15_16_17_18_19_20_21_22_23,12681,791,48
J24_15_23,27734,759,0
J24_1_2_23,885,87,0
J24_20_23,87839,370,141
J24_21_22_23,14548,387,32
J24_22_23,22324,2287,308
J24_23_26,3122,39,2
J24_2_3_5_10_14_23,9276,4444,539
J24_2_4_5_9_23,614,5,0
J24_2_5_7_8_23,5339,534,1
J24_3_6_9_10_11_14_22_23,5720,2061,148
J24_5_7_10_13_14_15_22_23,53687,419,3
J24_7_13_14_15_16_17_23,2552,25,0
J24_7_23,26207,66,17
J25_16_18_24,146467,485,259
J25_1_24,6939,259,27
J25_1_2_3_4_5_7_8_24,32736,249,0
J25_20_24,23172,415,70
J25_23_24,8940,331,30
J25_2_24,47641,325,130
J25_2_5_24,29932,802,1
J25_3_6_7_8_10_13_16_17_18_20_21_22_23_24,12985,834,65
J25_3_8_11_16_19_24,513,2,0
J25_7_16_24,561,6,0
J26_11_13_25,249181,913,405
J26_12_14_15_17_18_19_21_22_24_25,83763,1111,68
J26_18_19_20_22_24_25,51244,1111,21
J26_18_19_25,20074,395,26
J26_1_2_3_25,3998,37,0
J26_1_2_4_6_8_10_12_14_22_25,24158,534,89
J26_1_6_25,4073,1,0
J26_24_25,19502,593,277
J26_2_4_5_20_23_24_25,1187,186,11
J26_9_10_11_25,1550,799,56
J27_17_26,21800,425,33
J27_1_3_4_5_7_8_10_11_13_15_26,51121,1111,75
J27_1_3_5_6_7_9_26,63076,1111,58
J27_1_3_5_7_9_15_16_26,931,49,0
J27_20_23_26,19921,245,18
J27_21_22_26,51369,1026,171
J27_23_24_26,15356,371,23
J27_25_26,253731,1675,1109
J27_2_4_6_21_24_25_26,18990,2976,238
J27_6_8_26,292751,945,519
J27_7_26,1420,17,3
J28_11_13_14_16_22_23_27,32238,401,37
J28_11_17_26_27,1058,92,23
J28_17_19_20_27,8781,370,3
J28_25_27,25185,149,60
J28_26_27,818,34,3
J28_2_3_5_7_9_10_12_13_15_16_18_19_21_27,365615,1111,32
J28_2_4_6_7_9_10_11_13_14_16_18_20_22_27,485850,1111,53
J28_3_4_5_7_9_11_12_14_16_17_19_20_22_24_26_27,68148,1111,51
J28_4_27,310755,932,537
J28_7_10_13_15_18_19_24_27,40828,285,10
J28_9_20_25_27,9795,243,9
J29_10_12_13_14_15_16_18_19_21_23_25_27_28,67956,1111,52
J29_14_28,11744,386,0
J29_15_19_28,815,12,0
J29_15_20_28,820,12,0
J29_1_2_4_5_6_10_11_12_13_14_15_22_23_24_25_28,20122,582,291
J29_1_3_28,1299,51,2
J29_3_8_11_16_21_28,676,2,0
J29_4_5_7_28,18759,407,27
J29_6_28,31766,247,11
J2_1,601165,2862,93
J2_1_11,1177,61,0
J2_1_12,804,68,11
J2_1_13,12517,981,50
J2_1_14,2739,303,98
J2_1_16,3088,236,12
J2_1_21,832,11,0
J2_1_3,85772,4486,519
J2_1_3_4,26838,699,6
J2_1_4,54085,26828,3099
J2_1_5,21733,420,200
J2_1_6,107586,1445,281
J2_1_7,22024,2002,17
J2_1_8,798,202,78
J2_3_4,4932,18,9
J2_4_5,12663,62,31
J2_4_7,40942,418,139
J2_4_8,3295,38,1
J2_5_6,2391,45,2
J2_7_16,552,6,0
J30_11_12_13_14_15_16_17_18_19_20_21_22_29,14763,455,46
J30_1_2_5_24_29,19646,155,5
J30_26_33,1268,135,4
J30_2_4_6_8_24_27_28_29,4707,744,21
J30_2_5_13_29,12651,402,0
J30_4_9_12_17_22_29,4466,46,3
J30_5_7_29,36192,1111,63
J30_7_8_12_15_16_19_20_21_22_23_24_25_28_29,100368,505,16
J31_1_30,11449,621,44
J31_22_30,1175,100,0
J31_26_30,1563,161,17
J31_29_30,22906,932,119
J31_2_30,21145,371,20
J31_5_30,61534,325,21
J32_1_31,47640,339,20
J32_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22,610133,929,48
J32_7_8_9_31,1329,63,3
J33_4_32,277394,604,53
J34_1_33,6404,247,16
J34_2_3_5_7_8_9_10_11_12_15_17_20_22_23_24_25_26_3,7058,223,13
J34_31_33,1712,47,5
J34_3_33,68834,200,24
J35_18_34,2586,53,10
J35_28_34,2716,39,0
J35_8_11_16_32_34_45,643,235,15
J36_4_9_13_23_35,1081,47,0
J37_20_36,5473,108,19
J37_2_36,1129,49,0
J37_35_36,19676,774,63
J37_3_30_31_33_36_42_43_46,1544,1111,431
J38_11_14_19_35_37_47,638,235,17
J38_37_51,2242,53,6
J3_1,802,12,0
J3_1_2,40571989,111588,10668
J3_1_2_6_11,5762,665,266
J3_1_2_6_8_10_14,1148,44,3
J3_2,85730,631,302
J3_2_12,909,52,2
J3_2_4,28671,980,246
J3_2_4_5,1931,367,10
J3_2_5,39028,395,0
J3_2_5_6,612,397,215
J3_2_6,3300,400,139
J3_2_7,1317,160,27
J3_2_8,40937,443,53
J3_2_9,525,14,0
J3_2_9_10,1739,55,0
J3_4_5,46187,489,50
J3_7_9,2882,891,209
J3_8_9,3765,46,0
J40_22_39,1133,35,10
J40_33_34_38_39,8345,1155,197
J40_8_10_13_15_39,2099,767,27
J41_11_13_39_40_44_45_66_69_74,7308,478,26
J41_25_28_31_32_40,2292,2331,76
J41_39_40,500,32,5
J41_3_4_5_6_40,1425,771,17
J42_11_14_18_21_32_41,2965,2361,604
J42_9_11_13_14_18_41,1485,1111,370
J43_27_28_32_33_34_35_36_37_38_41_42,7636,780,85
J43_8_42,1941,84,5
J44_1_2_43,1022,8,1
J44_20_23_25_26_43,2422,2361,146
J45_7_9_11_13_16_26_44,3269,2391,813
J46_5_45,1952,84,7
J49_50_61,2202,59,1
J4_1_2,792,299,12
J4_1_2_3,1617418,21717,5654
J4_1_3,1654290,30527,6139
J4_2_3,1827223,23834,6222
J4_2_3_10,27998,342,11
J4_2_3_12,40915,281,1
J4_2_3_6,100003,702,351
J4_3,220917,2327,871
J4_3_11,38748,1111,116
J4_3_13,5022,255,0
J4_3_17,4048,55,17
J4_3_5,60533,551,33
J4_3_6,34096,195,143
J4_3_7,5010,265,7
J4_3_7_8,331656,1112,153
J4_3_9,21528,477,107
J51_49_50,1244,27,0
J52_50_51,3347,281,28
J53_49_52,1324,87,7
J54_51_53,3433,105,12
J55_15_24_28_36_43_54,978,25,1
J59_57_58,33163,3001,427
J5_1_2,5777,51,0
